reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-11-23,wk inc flu hosp,-1,2024-11-16,01,quantile,0.01,4.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,01,quantile,0.025,6.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,01,quantile,0.05,10.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,01,quantile,0.1,18.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,01,quantile,0.15,26.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,01,quantile,0.2,33.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,01,quantile,0.25,41.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,01,quantile,0.3,48.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,01,quantile,0.35,56.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,01,quantile,0.4,64.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,01,quantile,0.45,71.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,01,quantile,0.5,79.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,01,quantile,0.55,87.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,01,quantile,0.6,94.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,01,quantile,0.65,102.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,01,quantile,0.7,110.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,01,quantile,0.75,117.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,01,quantile,0.8,125.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,01,quantile,0.85,132.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,01,quantile,0.9,140.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,01,quantile,0.95,148.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,01,quantile,0.975,152.0
2024-11-23,wk inc flu hosp,-1,2024-11-16,01,quantile,0.99,154.0
2024-11-23,wk inc flu hosp,0,2024-11-23,01,quantile,0.01,33.0
2024-11-23,wk inc flu hosp,0,2024-11-23,01,quantile,0.025,36.0
2024-11-23,wk inc flu hosp,0,2024-11-23,01,quantile,0.05,40.0
2024-11-23,wk inc flu hosp,0,2024-11-23,01,quantile,0.1,48.0
2024-11-23,wk inc flu hosp,0,2024-11-23,01,quantile,0.15,55.0
2024-11-23,wk inc flu hosp,0,2024-11-23,01,quantile,0.2,63.0
2024-11-23,wk inc flu hosp,0,2024-11-23,01,quantile,0.25,71.0
2024-11-23,wk inc flu hosp,0,2024-11-23,01,quantile,0.3,79.0
2024-11-23,wk inc flu hosp,0,2024-11-23,01,quantile,0.35,87.0
2024-11-23,wk inc flu hosp,0,2024-11-23,01,quantile,0.4,95.0
2024-11-23,wk inc flu hosp,0,2024-11-23,01,quantile,0.45,103.0
2024-11-23,wk inc flu hosp,0,2024-11-23,01,quantile,0.5,111.0
2024-11-23,wk inc flu hosp,0,2024-11-23,01,quantile,0.55,119.0
2024-11-23,wk inc flu hosp,0,2024-11-23,01,quantile,0.6,126.0
2024-11-23,wk inc flu hosp,0,2024-11-23,01,quantile,0.65,134.0
2024-11-23,wk inc flu hosp,0,2024-11-23,01,quantile,0.7,142.0
2024-11-23,wk inc flu hosp,0,2024-11-23,01,quantile,0.75,150.0
2024-11-23,wk inc flu hosp,0,2024-11-23,01,quantile,0.8,158.0
2024-11-23,wk inc flu hosp,0,2024-11-23,01,quantile,0.85,166.0
2024-11-23,wk inc flu hosp,0,2024-11-23,01,quantile,0.9,174.0
2024-11-23,wk inc flu hosp,0,2024-11-23,01,quantile,0.95,182.0
2024-11-23,wk inc flu hosp,0,2024-11-23,01,quantile,0.975,186.0
2024-11-23,wk inc flu hosp,0,2024-11-23,01,quantile,0.99,188.0
2024-11-23,wk inc flu hosp,1,2024-11-30,01,quantile,0.01,54.0
2024-11-23,wk inc flu hosp,1,2024-11-30,01,quantile,0.025,56.0
2024-11-23,wk inc flu hosp,1,2024-11-30,01,quantile,0.05,60.0
2024-11-23,wk inc flu hosp,1,2024-11-30,01,quantile,0.1,68.0
2024-11-23,wk inc flu hosp,1,2024-11-30,01,quantile,0.15,75.0
2024-11-23,wk inc flu hosp,1,2024-11-30,01,quantile,0.2,83.0
2024-11-23,wk inc flu hosp,1,2024-11-30,01,quantile,0.25,91.0
2024-11-23,wk inc flu hosp,1,2024-11-30,01,quantile,0.3,99.0
2024-11-23,wk inc flu hosp,1,2024-11-30,01,quantile,0.35,107.0
2024-11-23,wk inc flu hosp,1,2024-11-30,01,quantile,0.4,114.0
2024-11-23,wk inc flu hosp,1,2024-11-30,01,quantile,0.45,122.0
2024-11-23,wk inc flu hosp,1,2024-11-30,01,quantile,0.5,130.0
2024-11-23,wk inc flu hosp,1,2024-11-30,01,quantile,0.55,138.0
2024-11-23,wk inc flu hosp,1,2024-11-30,01,quantile,0.6,145.0
2024-11-23,wk inc flu hosp,1,2024-11-30,01,quantile,0.65,153.0
2024-11-23,wk inc flu hosp,1,2024-11-30,01,quantile,0.7,161.0
2024-11-23,wk inc flu hosp,1,2024-11-30,01,quantile,0.75,169.0
2024-11-23,wk inc flu hosp,1,2024-11-30,01,quantile,0.8,176.0
2024-11-23,wk inc flu hosp,1,2024-11-30,01,quantile,0.85,184.0
2024-11-23,wk inc flu hosp,1,2024-11-30,01,quantile,0.9,192.0
2024-11-23,wk inc flu hosp,1,2024-11-30,01,quantile,0.95,200.0
2024-11-23,wk inc flu hosp,1,2024-11-30,01,quantile,0.975,204.0
2024-11-23,wk inc flu hosp,1,2024-11-30,01,quantile,0.99,206.0
2024-11-23,wk inc flu hosp,2,2024-12-07,01,quantile,0.01,49.0
2024-11-23,wk inc flu hosp,2,2024-12-07,01,quantile,0.025,51.0
2024-11-23,wk inc flu hosp,2,2024-12-07,01,quantile,0.05,55.0
2024-11-23,wk inc flu hosp,2,2024-12-07,01,quantile,0.1,62.0
2024-11-23,wk inc flu hosp,2,2024-12-07,01,quantile,0.15,70.0
2024-11-23,wk inc flu hosp,2,2024-12-07,01,quantile,0.2,77.0
2024-11-23,wk inc flu hosp,2,2024-12-07,01,quantile,0.25,84.0
2024-11-23,wk inc flu hosp,2,2024-12-07,01,quantile,0.3,91.0
2024-11-23,wk inc flu hosp,2,2024-12-07,01,quantile,0.35,99.0
2024-11-23,wk inc flu hosp,2,2024-12-07,01,quantile,0.4,106.0
2024-11-23,wk inc flu hosp,2,2024-12-07,01,quantile,0.45,113.0
2024-11-23,wk inc flu hosp,2,2024-12-07,01,quantile,0.5,121.0
2024-11-23,wk inc flu hosp,2,2024-12-07,01,quantile,0.55,128.0
2024-11-23,wk inc flu hosp,2,2024-12-07,01,quantile,0.6,135.0
2024-11-23,wk inc flu hosp,2,2024-12-07,01,quantile,0.65,142.0
2024-11-23,wk inc flu hosp,2,2024-12-07,01,quantile,0.7,150.0
2024-11-23,wk inc flu hosp,2,2024-12-07,01,quantile,0.75,157.0
2024-11-23,wk inc flu hosp,2,2024-12-07,01,quantile,0.8,164.0
2024-11-23,wk inc flu hosp,2,2024-12-07,01,quantile,0.85,172.0
2024-11-23,wk inc flu hosp,2,2024-12-07,01,quantile,0.9,179.0
2024-11-23,wk inc flu hosp,2,2024-12-07,01,quantile,0.95,186.0
2024-11-23,wk inc flu hosp,2,2024-12-07,01,quantile,0.975,190.0
2024-11-23,wk inc flu hosp,2,2024-12-07,01,quantile,0.99,192.0
2024-11-23,wk inc flu hosp,3,2024-12-14,01,quantile,0.01,36.0
2024-11-23,wk inc flu hosp,3,2024-12-14,01,quantile,0.025,38.0
2024-11-23,wk inc flu hosp,3,2024-12-14,01,quantile,0.05,42.0
2024-11-23,wk inc flu hosp,3,2024-12-14,01,quantile,0.1,50.0
2024-11-23,wk inc flu hosp,3,2024-12-14,01,quantile,0.15,57.0
